episode,timestep,reward
3,800,338.6667
5,1600,386.5
7,2400,458.0
9,3200,377.5
11,4000,318.0
13,4800,412.5
15,5600,516.5
17,6400,378.5
20,7200,342.3333
22,8000,384.5
24,8800,409.0
26,9600,414.5
28,10400,457.5
30,11200,377.0
33,12000,389.3333
35,12800,391.5
37,13600,378.0
39,14400,421.5
41,15200,378.0
43,16000,378.0
46,16800,383.0
48,17600,386.0
50,18400,418.0
53,19200,420.0
55,20000,377.5
57,20800,388.0
59,21600,378.0
61,22400,471.5
63,23200,377.5
65,24000,482.5
67,24800,458.0
70,25600,281.0
72,26400,378.0
75,27200,328.6667
77,28000,457.5
79,28800,448.0
81,29600,395.5
83,30400,378.0
85,31200,304.5
88,32000,281.6667
90,32800,378.0
92,33600,538.0
94,34400,377.5
97,35200,332.3333
99,36000,458.0
101,36800,314.5
103,37600,458.0
105,38400,378.0
107,39200,378.0
109,40000,310.0
111,40800,538.0
113,41600,377.5
115,42400,388.5
117,43200,409.5
120,44000,344.6667
122,44800,430.5
124,45600,400.5
126,46400,458.0
129,47200,339.6667
131,48000,341.0
134,48800,419.0
136,49600,403.0
138,50400,458.0
140,51200,459.0
142,52000,458.0
145,52800,387.0
147,53600,378.0
149,54400,462.5
151,55200,386.0
153,56000,378.0
155,56800,384.0
158,57600,290.0
160,58400,457.5
162,59200,377.0
164,60000,306.5
166,60800,383.0
169,61600,332.3333
171,62400,314.5
174,63200,331.3333
176,64000,369.0
178,64800,537.5
180,65600,455.0
182,66400,377.5
184,67200,407.5
186,68000,457.5
188,68800,415.0
190,69600,457.5
192,70400,464.5
194,71200,377.5
196,72000,458.0
198,72800,377.5
200,73600,305.5
202,74400,387.5
204,75200,313.0
206,76000,458.0
208,76800,458.0
210,77600,393.0
212,78400,473.5
215,79200,330.0
217,80000,447.0
219,80800,458.0
221,81600,377.5
223,82400,427.0
